,country_name,party_name_english,party_name_parlgov
1504,Sweden,Centre Party,Centre Party
1505,Sweden,People's Party,People’s Party
1506,Sweden,Feminist Initiative,
1507,Sweden,National Farmers' Union,
1508,Sweden,June List,
1509,Sweden,Christian Democrats,Christian Democrats
1510,Sweden,Moderate Party,
1511,Sweden,Greens,
1512,Sweden,Citizens Coalition,
1513,Sweden,Middle Parties,
1514,Sweden,National Party [General Electoral League],
1515,Sweden,New Democracy,New Democracy
1516,Sweden,Pirate Party,
1517,Sweden,Social Democrats,
1518,Sweden,Sweden Democrats,Sweden Democrats
1519,Sweden,Sarajevo List,
1520,Sweden,Communist Party of Sweden [Hoglund],Communist Party of Sweden
1521,Sweden,Liberal Party of Sweden,
1522,Sweden,Socialist Party ,
1523,Sweden,Swedish Senior Citizen Interest Party,
1524,Sweden,Social Democratic Left Party of Sweden -- 1921,
1525,Sweden,Left Party (Communists),
1526,Sweden,Left Socialist Party,
1527,Sweden,no seat,
1528,Sweden,no party affiliation,
1218,Norway,Teetotaler Party,
1219,Norway,Liberal People's Party,
1220,Norway,Norwegian Labour Party,Norwegian Labour Party
1221,Norway, Radical People's Party,
1222,Norway,Liberal Left Party,Liberal Party
1223,Norway,Electoral lists Conservatives,
1224,Norway,Progress Party,Progress Party
1225,Norway,Conservative Party,Conservative Party
1226,Norway,Resistance Movement,
1227,Norway,Coastal Party,
1228,Norway,Christian Democratic Party,
1229,Norway,Green Party,Green Party
1230,Norway,Moderate Liberal Party,
1231,Norway,Communist Party of Norway,
1232,Norway,National Gathering,
1233,Norway,Social Democratic Labour Party of Norway,
1234,Norway,Pensioners Party,
1235,Norway,Red Electoral Alliance,
1236,Norway,Socialist People's Party,Socialist People’s Party
1237,Norway,Socialist Left Party,Socialist Left Party
1238,Norway,Society Party,
1239,Norway,Centre Party,Centre Party
1240,Norway,Liberal Party of Norway,
1241,Norway,others,
1242,Norway,no seat,
1243,Norway,no party affiliation,
1244,Norway,one seat,
332,Denmark,The Alternative,
333,Denmark,Solidarity (Greenland),
334,Denmark,Farmers' Party ,
335,Denmark,Centre Democrats,Centre Democrats
336,Denmark,Danish Peoples Party,Danish People’s Party
337,Denmark,Communist Party of Denmark,
338,Denmark,National Socialist Workers' Party of Denmark,
339,Denmark,Danish Union,Danish Union
340,Denmark,Independents Party,Independents’ Party
341,Denmark,Industry Party ,
342,Denmark,Red-Green Alliance,
343,Denmark,People's Party (Faroe Islands),
344,Denmark,Common Course,Common Course
345,Denmark,People's Movement against the EU,
346,Denmark,Progress Party,Progress Party
347,Denmark,Greenland and Faroe Islands,
348,Denmark,Greens,
349,Denmark,Liberals of the Capital,
350,Denmark,Community of the People,
351,Denmark,Social Democratic Party (Faroe Islands),
352,Denmark,June Movement,
353,Denmark,Conservatives,
354,Denmark,Christian People's Party,Christian People’s Party
355,Denmark,Liberal Centre,Liberal Centre
356,Denmark,Moderate Liberals ,
357,Denmark,New-Liberal Alliance,Liberal Alliance
358,Denmark,National Cooperation ,
359,Denmark,Justice Party,Justice Party
360,Denmark,Danish Social Liberal Party,Danish Social-Liberal Party
361,Denmark,Socialist Peoples Party,Socialist People’s Party
362,Denmark,Schleswig Party,
363,Denmark,Union Party (Faroe Islands),
364,Denmark,Social Democrats,
365,Denmark,Forward (Greenland),
366,Denmark,Republic (Faroe Islands),
367,Denmark,Liberal Party,
368,Denmark,Left Socialists,Left Socialist Party
369,Denmark,others,
370,Denmark,no seat,
371,Denmark,no party affiliation,
462,Finland,Aland Coalition,
463,Finland,Democratic Union | Left Alliance,
464,Finland,Democratic Alternative,Democratic Alternative
465,Finland,Ecological Party,
466,Finland,Patriotic People's Movement,
467,Finland,Christian Democrats,
468,Finland,Centre Party,Centre Party
469,Finland,National Progressive Party | [Finnish] Liberal People's Party,
470,Finland,National Coalition Party,National Coalition
471,Finland,People's Party,
472,Finland,Young Finns,
473,Finland,Party of Smallholders and Rural People,
474,Finland,Constitutional People's Party,
475,Finland,Pirate Party Finland,
476,Finland,Swedish People's Party,Swedish People’s Party
477,Finland,Reform Group,
478,Finland,Finnish Pensioners Party,Finnish People’s Party
479,Finland,Communist  Party of Finland (Unity),
480,Finland,Finnish People's Unity Party,Finnish People’s Party
481,Finland,Christian Workers' Union of Finland,
482,Finland,Finnish Party -- Old Finns,
483,Finland,Finnish Small Farmers' Party,Finnish Smallholders’ Party
484,Finland,Finnish Party | True Finns,
485,Finland,Social Democratic Party of Finland,
486,Finland,Swedish Left,
487,Finland,Social Democratic League of Workers and Smallholders,Social Democratic League of Workers and Smallholders
488,Finland,New Alternative,
489,Finland,Anti-EU Movement,
490,Finland,Green League,
491,Finland,Liberal League,
492,Finland,League for Free Finland,
493,Finland,no seat,
494,Finland,no party affiliation,
495,Finland,one seat,
759,Iceland,Social Democratic Party,Social Democratic Party
760,Iceland,People's Alliance,People’s Alliance
761,Iceland,Civic Movement -- The Movement,
762,Iceland,Bright Future,Bright Future
763,Iceland,Alliance of Social Democrats ,
764,Iceland,Farmers' Party,
765,Iceland,Citizens' Party -- 1987,
766,Iceland,"Dawn -- Organization of justice, fairness and democracy",
767,Iceland,Progressive Party,Progressive Party
768,Iceland,Liberal Party ,Liberal Party
769,Iceland,Households Party,
770,Iceland,Humanist Party,
771,Iceland,Candidature Party,
772,Iceland,Liberal Party,Liberal Party
773,Iceland,People's Party,
774,Iceland,Liberals,
775,Iceland,Left-Green Movement,Left Green Movement
776,Iceland,RIght-Green People's Party,
777,Iceland,Home Rule Party ,
778,Iceland,Iceland Democratic Party,Social Democratic Party
779,Iceland,Icelandic Movement -- Living Country,
780,Iceland,Women's Alliance,Women’s Alliance
781,Iceland,Communist Party,
782,Iceland,Republican Party,
783,Iceland,Centre Party,
784,Iceland,Debating Society of Social Democrats,
785,Iceland,Independent Democratic Party,
786,Iceland,Pirate Party,Pirate Party
787,Iceland,Rainbow,
788,Iceland,United Socialist Party,United Socialist Party
789,Iceland,Social Democratic Alliance,
790,Iceland,Union of Liberals and Leftist,Union of Liberals and Leftists
791,Iceland,Independence Party,Independence Party
792,Iceland,Independence Party -- 1907,Independence Party
793,Iceland,Association for Equality and Justice,
794,Iceland,People's Movement,
795,Iceland,National Party,
796,Iceland,National Preservation Party,National Preservation Party
797,Iceland,Common Wealth Party,
798,Iceland,Revival,
799,Iceland,no seat,
800,Iceland,no party affiliation,
74,Belgium, Spirit,
75,Belgium,Agalev -- Green,
76,Belgium,Belgian Socialist Party,Belgian Socialist Party
77,Belgium,Belgian Labour Party,
78,Belgium,Catholic Dissidents,
79,Belgium,Christian-Democrat and Flemish / New Flemish Alliance,
80,Belgium,Christian Social Party,Christian Social Party
81,Belgium,Christian Peoples' Party [Daens],Christian People’s Party
82,Belgium,Flemish Christian Peoples Party,Christian People’s Party
83,Belgium, Christian Democrats,
84,Belgium,"Belgians, Rise Up!",
85,Belgium,Confederated ecologists for the organisation of original struggles,
86,Belgium,Francophone Democratic Front,
87,Belgium,National Front,
88,Belgium,Front Party | Flemish National Union,
89,Belgium,Cartel of Liberals and Socialists,
90,Belgium,Catholic Party,
91,Belgium,Communist Party,
92,Belgium,Catholic Flemish People's Party,
93,Belgium,Catholics Lists,
94,Belgium,"List Dedecker | Libertarian, Direct, Democratic",
95,Belgium,Liberal Party,Liberal Party
96,Belgium,Citizens' Movement for Change,
97,Belgium,Reformist Movement,Reform Movement
98,Belgium,New Flemish Alliance,New Flemish Alliance
99,Belgium,Workers' Party of Belgium,
100,Belgium,Liberal Party [Brussels Region],
101,Belgium,Liberal Reformist Party,Liberal Reformation Party
102,Belgium,Socialist Party [Francophone],
103,Belgium,Francophone Christian Social Party -- Humanist Democratic Centre,
104,Belgium,Francophone Christian Social Party and Flemish Christian People's Party,Francophone Christian Social Party and Flemish Christian People’s Party
105,Belgium,Party of Liberty and Progress | Flemish Liberals and Democrats,
106,Belgium,People's Party,
107,Belgium,Radical Reformers Fighting for an Upright Society,
108,Belgium,Walloon Rally,Walloon Rally
109,Belgium,Rexist Party,
110,Belgium,Respect for Labour,
111,Belgium,Socialist Party,
112,Belgium,Socialist Party Different / Social Liberal Party,
113,Belgium,Belgian Democratic Union,
114,Belgium,Alive,
115,Belgium,Flemish Block,Flemish Bloc
116,Belgium,People's Union,Peoples’ Union
117,Belgium,Growing Old in Dignity,
118,Belgium,others,
119,Belgium,no seat,
120,Belgium,no party affiliation,
121,Belgium,one seat,
1169,Netherlands,50PLUS,
1170,Netherlands,General Senior Union | United Seniors Party,
1171,Netherlands,Anti-Revolutionary Party,Anti-Revolutionary Party
1172,Netherlands,League of Free Liberals,
1173,Netherlands,Farmers Party,
1174,Netherlands,Centre Democrats,Centre Democrats
1175,Netherlands,Christian Democratic Appeal,Christian Democratic Appeal
1176,Netherlands,Christian Democratic Union,
1177,Netherlands,Christian Historical Union,Christian Historical Union
1178,Netherlands,Centre Party,Centre Party
1179,Netherlands,Communist Party of the Netherlands,Communist Party of the Netherlands
1180,Netherlands,ChristianUnion,Christian Union
1181,Netherlands,Democrats 66,Democrats‘66
1182,Netherlands,Think,
1183,Netherlands,Democratic Socialists 70,Democratic Socialists‘70
1184,Netherlands,Economic League ,
1185,Netherlands,Europe Transparent,
1186,Netherlands,Forum for Democracy,Forum for Democracy
1187,Netherlands,GreenLeft,Green Left
1188,Netherlands,Reformed Political League,Reformed Political League
1189,Netherlands,The Greens,
1190,Netherlands,New Reformed State Party ,
1191,Netherlands,Catholic National Party,
